카테고리,단어,뜻,예문,해석,학습 상태
토익 950+ 목표,redundant,"[형용사] 불필요한, 중복의",The new automation system rendered the older machines redundant.,새로운 자동화 시스템으로 인해 이전 기계들은 불필요해졌다.,미학습
토익 950+ 목표,unprecedented,"[형용사] 전례 없는, 파격적인",The technology company enjoyed an unprecedented rise in its stock values.,그 기술 회사는 주식 가치에서 전례 없는 상승을 누렸다.,암기 완료
토익 950+ 목표,scrutinize,[동사] 정밀 조사하다,Auditors will scrutinize the quarterly financial reports for discrepancies.,감사관들은 불일치 사항이 있는지 분기별 재무 보고서를 정밀 조사할 것이다.,학습 중
토익 950+ 목표,inadvertently,"[부사] 무심코, 우연히",The confidential documents were inadvertently sent to the competitor.,기밀 문서들이 실수로 경쟁사에 전송되었다.,미학습
토익 950+ 목표,prerequisite,"[명사] 전제 조건, 필수 기초",Having five years of leadership experience is a prerequisite for this role.,5년의 리더십 경력을 갖추는 것이 이 직책의 필수 전제 조건이다.,미학습
토익 950+ 목표,discrepancy,"[명사] 불일치, 어긋남",We must resolve the discrepancy between the ledger and the bank record.,우리는 장부와 은행 기록 간의 불일치를 해결해야 한다.,학습 중
토익 950+ 목표,meticulously,"[부사] 꼼꼼하게, 세심하게",The laboratory equipment was meticulously sterilized before the experiment.,실험을 시작하기 전에 실험실 장비가 꼼꼼하게 소독되었다.,미학습
토익 950+ 목표,compromise,"[동사] 타협하다, 가치를 손상시키다",We cannot compromise the quality of our product for quick profits.,우리는 빠른 이익을 위해 제품의 품질을 타협(손상)시킬 수 없다.,미학습
토익 950+ 목표,stringent,"[형용사] 엄격한, 긴박한",The pharmaceutical firm must comply with stringent quality control guidelines.,제약 회사는 엄격한 품질 관리 지침을 준수해야 한다.,미학습
토익 950+ 목표,curtail,"[동사] 축소하다, 삭감하다",The university had to curtail its research budget due to the deficit.,대학은 적자로 인해 연구 예산을 축소해야만 했다.,암기 완료
초등 영어,umbrella,[명사] 우산,Don't forget to take your umbrella.,우산 가져가는 것을 잊지 마라.,미학습
초등 영어,curious,[형용사] 호기심이 많은,The little boy is curious about everything.,그 어린 소년은 모든 것에 호기심이 많다.,미학습
초등 영어,balloon,[명사] 풍선,He blew up a red balloon for the party.,그는 파티를 위해 빨간 풍선을 불었다.,미학습
초등 영어,classroom,[명사] 교실,The classroom was bright and clean.,교실은 밝고 깨끗했다.,미학습
초등 영어,library,[명사] 도서관,I borrowed some books from the library.,나는 도서관에서 책을 몇 권 빌렸다.,미학습
초등 영어,delicious,[형용사] 맛있는,This apple pie is absolutely delicious.,이 애플파이는 정말 맛있다.,미학습
초등 영어,neighbor,[명사] 이웃,Our neighbor is very friendly and kind.,우리 이웃은 매우 친절하고 상냥하다.,미학습
초등 영어,stomach,"[명사] 위, 배",I have a slight pain in my stomach.,배가 약간 아픕니다.,미학습
초등 영어,holiday,"[명사] 휴일, 명절",We are going on holiday next week.,우리는 다음 주에 휴가를 떠난다.,미학습
초등 영어,weather,[명사] 날씨,The weather is perfect for a picnic.,날씨가 소풍 가기에 완벽하다.,미학습
초등 영어,calendar,[명사] 달력,Write the appointment on your calendar.,달력에 약속을 기록해 두세요.,미학습
초등 영어,blanket,[명사] 담요,"It was cold, so I put another blanket on the bed.",날씨가 추워서 침대에 담요를 하나 더 깔았다.,미학습
초등 영어,journey,"[명사] 여정, 여행",They wished him a safe and pleasant journey.,그들은 그가 안전하고 즐거운 여행을 하기를 바랐다.,미학습
초등 영어,present,[명사] 선물,He gave his daughter a beautiful present.,그는 그의 딸에게 아름다운 선물을 주었다.,미학습
초등 영어,shadow,[명사] 그림자,"The sun was low, and our shadows were very long.",해가 낮게 떠서 우리의 그림자가 매우 길었다.,미학습
중고등 영어,improve,"[동사] 향상시키다, 개선하다",You need to practice constantly to improve your English.,영어를 향상시키려면 끊임없이 연습해야 한다.,미학습
중고등 영어,essential,"[형용사] 필수적인, 아주 중요한",Water is essential for all living things.,물은 모든 생명체에게 필수적이다.,미학습
중고등 영어,concentrate,[동사] 집중하다,Noise makes it difficult to concentrate on reading.,소음은 독서에 집중하는 것을 어렵게 만든다.,미학습
중고등 영어,influence,"[명사] 영향, [동사] 영향을 미치다",Peer pressure can influence teenagers greatly.,또래 압력은 10대들에게 큰 영향을 미칠 수 있다.,미학습
중고등 영어,opportunity,[명사] 기회,Studying abroad is a great opportunity to learn.,유학은 배울 수 있는 좋은 기회이다.,미학습
중고등 영어,challenge,"[명사] 도전, [동사] 도전하다",Learning a new language is a great challenge.,새로운 언어를 배우는 것은 큰 도전이다.,미학습
중고등 영어,encourage,"[동사] 격려하다, 권장하다",Teachers should encourage students to ask questions.,교사들은 학생들이 질문하도록 격려해야 한다.,미학습
중고등 영어,responsible,[형용사] 책임이 있는,Parents are responsible for their children's safety.,부모는 자녀의 안전에 대해 책임이 있다.,미학습
중고등 영어,analyze,[동사] 분석하다,We need to analyze the results of the test.,우리는 시험 결과를 분석해야 한다.,미학습
중고등 영어,independent,[형용사] 독립적인,She wants to be financially independent of her parents.,그녀는 부모로부터 재정적으로 독립하기를 원한다.,미학습
중고등 영어,attribute,"[동사] ~의 결과로 보다, [명사] 자질",She attributes her success to hard work and dedication.,그녀는 자신의 성공을 성실과 헌신의 덕으로 돌린다.,미학습
중고등 영어,consequence,"[명사] 결과, 대가",You must accept the consequences of your decisions.,당신은 당신이 내린 결정의 결과를 받아들여야 합니다.,미학습
중고등 영어,significant,"[형용사] 중대한, 상당한",There has been a significant increase in sales this year.,올해 매출에 상당한 증가가 있었습니다.,미학습
중고등 영어,vulnerable,"[형용사] 취약한, 상처받기 쉬운",Young children are vulnerable to influenza.,어린 아이들은 독감에 취약하다.,미학습
중고등 영어,terminate,"[동사] 종료하다, 종결되다",The contract will terminate automatically next month.,그 계약은 다음 달에 자동 종료될 것입니다.,미학습
대학 영어,hypothesis,[명사] 가설,The scientific hypothesis must be tested through experiments.,과학적 가설은 실험을 통해 검증되어야 한다.,미학습
대학 영어,empirical,"[형용사] 경험적인, 실증적인",The researcher gathered empirical evidence to support the claim.,연구원은 그 주장을 뒷받침하기 위해 실증적인 증거를 수집했다.,미학습
대학 영어,paradigm,"[명사] 패러다임, 전형적인 양식",This discovery caused a major paradigm shift in physics.,이 발견은 물리학에 중대한 패러다임 변화를 일으켰다.,미학습
대학 영어,substantiate,"[동사] 입증하다, 구체화하다",There is no evidence to substantiate these allegations.,그 주장을 입증할 만한 증거가 없다.,미학습
대학 영어,comprehensive,"[형용사] 종합적인, 포괄적인",The study provides a comprehensive overview of the issue.,그 연구는 문제에 대한 종합적인 개요를 제공한다.,미학습
대학 영어,methodology,[명사] 방법론,The researchers explained their scientific methodology clearly.,연구원들은 그들의 과학적 방법론을 명확히 설명했다.,미학습
대학 영어,phenomenon,[명사] 현상,Gravity is a natural phenomenon that we observe daily.,중력은 우리가 매일 관찰하는 자연 현상이다.,미학습
대학 영어,synthesize,"[동사] 합성하다, 통합하다",The brain synthesizes information from different senses.,뇌는 서로 다른 감각에서 오는 정보를 종합한다.,미학습
대학 영어,abstract,"[형용사] 추상적인, [명사] 개요",Truth and beauty are abstract concepts.,진리와 미는 추상적인 개념이다.,미학습
대학 영어,ambiguous,"[형용사] 모호한, 애매한",His ambiguous answer left us confused about the next step.,그의 모호한 답변은 우리를 다음 단계에 대해 혼란스럽게 만들었다.,미학습
대학 영어,cognitive,"[형용사] 인지적인, 인식의",Studies show how cognitive abilities change with age.,연구는 인지 능력이 나이에 따라 어떻게 변하는지 보여준다.,미학습
대학 영어,fluctuate,"[동사] 변동하다, 오르내리다",The experimental temperature fluctuated during the trial.,실험 온도는 시험 기간 동안 오르내렸다.,미학습
대학 영어,pragmatic,"[형용사] 실용적인, 실제적인",We must take a pragmatic approach to solve this conflict.,우리는 이 갈등을 해결하기 위해 실용적인 접근법을 취해야 한다.,미학습
대학 영어,ubiquitous,"[형용사] 어디에나 있는, 아주 흔한",Mobile phones have become ubiquitous in modern society.,휴대전화는 현대 사회에서 어디에나 있는 존재가 되었다.,미학습
기초 필수 영단어,agree,[동사] 동의하다,I agree with your opinion on this matter.,나는 이 문제에 대한 당신의 의견에 동의한다.,미학습
기초 필수 영단어,believe,[동사] 믿다,You must believe in your own abilities.,당신은 자신의 능력을 믿어야 한다.,미학습
기초 필수 영단어,forget,[동사] 잊어버리다,Don't forget to lock the door when you leave.,나갈 때 문 잠그는 것을 잊지 마라.,미학습
기초 필수 영단어,remember,[동사] 기억하다,I remember meeting him at the conference last year.,나는 작년 학회에서 그를 만난 것을 기억한다.,미학습
기초 필수 영단어,healthy,[형용사] 건강한,A balanced diet keeps you healthy and strong.,균형 잡힌 식단은 당신을 건강하고 튼튼하게 유지해 준다.,미학습
기초 필수 영단어,prepare,[동사] 준비하다,They are preparing for the upcoming exam.,그들은 다가오는 시험을 준비하고 있다.,미학습
기초 필수 영단어,receive,[동사] 받다,She received a beautiful bouquet of flowers.,그녀는 아름다운 꽃다발을 받았다.,미학습
기초 필수 영단어,success,[명사] 성공,Hard work is the key to business success.,성실한 노력은 사업 성공의 열쇠이다.,미학습
기초 필수 영단어,problem,[명사] 문제,We need to find a solution to this problem.,우리는 이 문제에 대한 해결책을 찾아야 한다.,미학습
기초 필수 영단어,simple,"[형용사] 단순한, 간단한",The rules of the game are very simple.,그 게임의 규칙은 매우 간단하다.,미학습
기초 필수 영단어,bright,"[형용사] 밝은, 영리한",The sun is shining bright today.,오늘 태양이 밝게 빛나고 있다.,미학습
기초 필수 영단어,danger,[명사] 위험,The sign warned drivers of the danger ahead.,표지판은 운전자들에게 앞의 위험에 대해 경고했다.,미학습
기초 필수 영단어,exercise,"[명사] 운동, [동사] 운동하다",Regular exercise is good for your physical health.,규칙적인 운동은 신체 건강에 좋다.,미학습
기초 필수 영단어,nature,"[명사] 자연, 본성",It is peaceful to spend time in nature.,자연 속에서 시간을 보내는 것은 평화롭다.,미학습
중급 필수 영단어,accurate,[형용사] 정확한,The weather forecast was surprisingly accurate.,일기예보는 놀라울 정도로 정확했다.,미학습
중급 필수 영단어,benefit,"[명사] 혜택, 이익",Regular exercise offers many health benefits.,규칙적인 운동은 많은 건강상 혜택을 제공한다.,미학습
중급 필수 영단어,complain,[동사] 불평하다,Customers have the right to complain about bad service.,고객은 불량한 서비스에 대해 불평할 권리가 있다.,미학습
중급 필수 영단어,delay,"[동사] 미루다, 지연시키다",The flight was delayed due to heavy snow.,폭설로 인해 비행기가 지연되었다.,미학습
중급 필수 영단어,express,[동사] 표현하다,Art is a powerful way to express your feelings.,예술은 감정을 표현하는 강력한 방법이다.,미학습
중급 필수 영단어,frequent,"[형용사] 빈번한, 자주 일어나는",He made frequent trips to the headquarters.,그는 본사로 빈번한 출장을 다녔다.,미학습
중급 필수 영단어,ignore,[동사] 무시하다,It is not wise to ignore safety warnings.,안전 경고를 무시하는 것은 현명하지 못하다.,미학습
중급 필수 영단어,predict,[동사] 예측하다,It is difficult to predict the future accurately.,미래를 정확하게 예측하는 것은 어렵다.,미학습
중급 필수 영단어,reduce,"[동사] 줄이다, 감소시키다",We need to reduce our daily energy consumption.,우리는 일일 에너지 소비량을 줄여야 한다.,미학습
중급 필수 영단어,support,"[동사] 지지하다, 후원하다",My family always supports my dreams.,가족들은 항상 나의 꿈을 지지해 준다.,미학습
중급 필수 영단어,acquire,"[동사] 습득하다, 획득하다",He managed to acquire a reputation for honesty.,그는 정직하다는 명성을 얻을 수 있었다.,미학습
중급 필수 영단어,convert,"[동사] 전환하다, 바꾸다",The solar panels convert sunlight into electricity.,태양광 패널은 햇빛을 전기로 전환한다.,미학습
